"mps","Mathematical and Physical Sciences",""
"bio","Biological Sciences",""
"cie","Computer and Information Science and Engineering",""
"eng","Engineering",""
"geo","Geosciences",""
"hua","Humanities/Arts",""
"oth","Other",""
"sbe","Social, Behavioral, and Economic Sciences",""
"art","Arts","hua"
"asc","Advanced Scientific Computing","cie"
"ast","Astronomical Sciences","mps"
"atm","Atmospheric Sciences","geo"
"bcs","Biological and Critical Systems","eng"
"bir","Biological Instrumentation and Resources","bio"
"bns","Behavioral and Neural Sciences","sbe"
"ccr","Computer and Computation Research","cie"
"cda","Cross-Disciplinary Activities","cie"
"che","Chemistry","mps"
"cie","Computer and Information Science and Engineering",
"cts","Chemical, Thermal Systems","eng"
"ddm","Design and Manufacturing Systems","eng"
"deb","Environmental Biology","bio"
"dmr","Materials Research","mps"
"dms","Mathematical Sciences","mps"
"dpp","Polar Programs","geo"
"ear","Earth Sciences","geo"
"ecd","Engineering Centers","eng"
"ecs","Electrical and Communication Systems","eng"
"eid","Engineering Infrastructure Development","eng"
"ibn","Integrative Biology and Neuroscience","bio"
"int","International Programs","sbe"
"iri","Information, Robotics, and Intelligent Systems","cie"
"isi","Industrial Science and Technological Innovation","eng"
"mcb","Molecular Biosciences","bio"
"mip","Microelectronic Information Processing Systems","cie"
"mss","Mechanical and Structural Systems","eng"
"ncr","Networking and Communications Research","cie"
"oce","Ocean Sciences","geo"
"phy","Physics","mps"
"ses","Social and Economic Science","sbe"
"srs","Science Resources Studies","sbe"
"ini","Institutional Infrastructure","cda"
"edi","Educational Infrastructure","cda"
"bms","Biochemistry and Molecular Structure and Function","mcb"
"bph","Biophysics","mcb"
"gna","Genetics and Nucleic Acids","mcb"
"cbi","Cell Biology","mcb"
"est","Ecological Studies","deb"
"spb","Systematic and Population Biology","deb"
"dbi","Developmental Biology","ibn"
"nbi","Neuroscience Biology","ibn"
"phb","Physiology and Behavior","ibn"
"ant","Anthropology","bns"
"lcs","Language, Cognition, and Social Behavior","bns"
"eco","Economics","ses"
"grs","Geography and Regional Science","ses"
"soc","Sociology","ses"
"mms","Methodology, Measurement, and Statistics","ses"
"pos","Political Science","ses"
"lss","Law and Social Sciences","ses"
"drm","Decision, Risk, and Management Science","ses"
"met","Meteorology","atm"
"ach","Atmospheric Chemistry","atm"
"cld","Climate Dynamics","atm"
"gar","Global Atmospheric Research","atm"
"aer","Aeronomy","atm"
"str","Solar Terrestrial Research","atm"
"gpa","Geology and Paleontology","ear"
"spr","Surficial Processes","ear"
"tec","Tectonics","ear"
"sis","Seismology","ear"
"gep","Geophysics","ear"
"pmr","Petrogenesis and Mineral Resources","ear"
"vmg","Volcanology and Mantle Geochemistry","ear"
"etg","Experimental and Theoretical Geochemistry","ear"
"boc","Biological Oceanography","oce"
"coc","Chemical Oceanography","oce"
"poc","Physical Oceanography","oce"
"mgg","Marine Geology and Geophysics","oce"
"pgl","Polar Glaciology","dpp"
"paa","Polar Aeronomy and Astrophysics","dpp"
"pbm","Polar Biology and Medicine","dpp"
"pes","Polar Earth Sciences","dpp"
"pme","Polar Meteorology","dpp"
"pos","Polar Ocean and Climate Systems","dpp"
"crp","Chemical and Reaction Processes","cts"
"its","Interfacial, Transport, and Separations Processes","cts"
"ths","Thermal Systems","cts"
